Unnamed: 0,AT2G44680,AT3G46640,AT3G42170,AT2G46340,AT4G39260,AT5G20630,AT5G10140,AT5G47390,AT5G64170,AT3G54500,AT1G69830,AT5G62430,AT1G09530,AT4G25470,AT4G18290,AT1G19120,AT3G54340,AT2G18915,AT5G60100,AT4G25420,AT2G02570,AT3G22420,AT2G23070,AT2G46830,AT1G78580,AT3G30180,AT5G61380,AT2G21320,AT1G12910,AT5G02810,AT1G09340,AT3G27920,AT2G25930,AT3G14080,AT1G77180,AT1G54380,AT3G60250,AT3G04910,AT1G13260,AT1G59940,AT4G36710,AT5G08330,AT2G40080,AT2G21660,AT1G10470,AT5G51810,AT1G31500,AT1G22770,AT2G21150,AT3G07640,AT4G08920,AT3G50000,AT5G59560,AT5G37260,AT5G36910,AT2G31870,AT5G57360,AT5G05690,AT3G18750,AT1G19330,AT5G67380,AT5G02840,AT5G24470,AT3G09600,AT1G75950,AT5G52660,AT5G51200,AT3G26740,AT3G22231,AT3G01650,AT3G26640,AT3G22380,AT5G14420,AT4G24500,AT5G58350,AT2G23080,AT5G64813,AT2G21070,AT4G35090,AT1G26800,AT1G01060,AT3G20810,AT1G69570,AT5G28770
GSM131066,91.3955001831055,42.343448638916,97.629035949707,188.5613975524905,297.549011230469,813.923645019531,61.6416473388672,143.136428833008,271.822662353516,317.755035400391,135.508270263672,247.210327148438,126.815925598145,8.6711950302124,10.499306678772,284.684844970703,19.7634201049805,75.0603103637695,34.8716011047363,16.7782936096191,65.0332183837891,105.850425720215,392.090118408203,339.363952636719,78.9122467041016,103.169387817383,54.1864547729492,195.088027954102,196.769927978516,43.6115036010742,1611.18737792969,11.9359245300293,61.6292610168457,73.5367965698242,244.737243652344,47.0650444030762,92.3359603881836,134.461334228516,16.7839908599854,12.1404590606689,35.8526039123535,72.2444305419922,30.0583114624023,506.442504882813,281.7470703125,22.281551361084,66.6858520507813,38.1478996276855,67.9295043945313,63.9362869262695,124.094825744629,201.56396484375,88.6265640258789,146.586242675781,267.972412109375,26.6742725372314,110.93928527832,474.748474121094,83.0230102539063,87.994758605957,114.138610839844,369.550201416016,15.4075384140015,50.2214584350586,1100.84362792969,75.7559280395508,98.2063369750977,200.479110717773,146.196365356445,71.281005859375,81.6904907226563,309.954193115234,77.8743362426758,38.6008567810059,90.6958541870117,57.0758323669434,95.9178619384766,33.8127784729004,2053.3134765625,86.4508972167969,755.162841796875,72.6109085083008,29.7376098632813,63.8667602539063
GSM131067,83.1161727905273,50.3849792480469,114.211639404297,166.72824096679676,308.183044433594,1681.146484375,35.8991889953613,237.294708251953,301.751007080078,236.344772338867,307.900024414063,276.113067626953,51.6697235107422,19.2692852020264,6.30280542373657,260.592315673828,27.1329784393311,74.9302978515625,40.9903755187988,17.3967552185059,52.8428688049316,67.4273681640625,417.5771484375,116.203804016113,73.1957092285156,111.293472290039,66.9417266845703,90.3761215209961,289.501312255859,125.479682922363,1267.41748046875,13.8390092849731,64.0861434936523,70.5306777954102,211.881881713867,42.150318145752,100.587997436523,278.77197265625,28.4962558746338,6.2680230140686,31.5025825500488,179.385345458984,33.0452651977539,649.664611816406,207.735565185547,29.6110401153564,65.9188385009766,103.281257629395,39.1781311035156,64.7287750244141,112.578247070313,220.822875976563,95.7737197875977,73.2726593017578,331.891479492188,29.3523597717285,110.399208068848,704.412780761719,55.7748947143555,110.569892883301,144.492645263672,355.481719970703,55.3982086181641,24.224552154541,1208.62475585938,92.3526306152344,85.840217590332,1675.0400390625,46.7983207702637,81.2774353027344,62.3759727478027,470.152618408203,125.138236999512,58.6209030151367,118.338661193848,60.5576705932617,112.053665161133,45.9174613952637,1593.7978515625,113.604583740234,249.603118896484,63.8970756530762,41.2161636352539,84.5366592407227
GSM131068,107.080665588379,117.986991882324,114.266479492188,94.08418464660626,959.957336425781,2732.55932617188,42.4465293884277,157.168975830078,120.121810913086,89.6809158325195,547.099670410156,116.67847442627,81.1698837280273,14.9843244552612,9.58256435394287,263.920257568359,9.63596343994141,86.4843215942383,121.32795715332,19.6757278442383,111.603248596191,73.2158355712891,358.291168212891,21.5473003387451,79.9097213745117,106.933113098145,282.646545410156,5.61130809783936,255.411865234375,130.757675170898,1080.51672363281,20.2493305206299,161.6865234375,79.131103515625,315.914215087891,38.5534591674805,108.186614990234,360.124755859375,36.4860076904297,4.10302591323853,33.7055549621582,121.884307861328,256.867156982422,3208.958984375,238.300231933594,24.0574645996094,82.0130157470703,342.677185058594,48.2330894470215,130.571441650391,129.676788330078,226.860427856445,90.3929824829102,149.400985717773,192.267456054688,28.7116832733154,117.527954101563,577.079040527344,46.3248748779297,99.52685546875,124.162582397461,190.738143920898,126.937683105469,2.893667072057724,992.827331542969,62.1780090332031,133.235626220703,2513.48364257813,23.1700820922852,74.4374923706055,87.7717742919922,459.655303955078,75.3712997436523,52.3052978515625,117.584609985352,46.2580337524414,104.893157958984,58.4659957885742,793.304321289063,96.9855346679688,23.6524963378906,311.036804199219,33.8864555358887,54.6198425292969
GSM131069,85.061882019043,131.224594116211,119.109420776367,127.9115829467772,357.851470947266,2705.80639648438,51.6068534851074,143.785003662109,8.62036991119385,44.0020751953125,358.942474365234,74.0045318603516,98.0444488525391,10.8404340744019,16.1132869720459,259.318817138672,27.6885051727295,81.6838912963867,146.031890869141,9.1086368560791,63.1286087036133,75.4228515625,414.63818359375,10.5459852218628,68.0209732055664,78.9419326782227,230.286972045898,13.1898460388184,222.677032470703,22.0440063476563,1651.02685546875,10.9267377853394,135.943954467773,91.7424087524414,218.601791381836,47.4898719787598,88.3481979370117,262.898376464844,24.879358291626,10.3238372802734,39.0138969421387,77.2638320922852,199.329864501953,1783.72937011719,267.952941894531,11.3149003982544,82.1386642456055,53.0776748657227,47.7343597412109,102.022033691406,78.8154373168945,212.448501586914,96.4603424072266,340.27685546875,159.822708129883,28.9823894500732,100.875305175781,415.559326171875,56.6494216918945,161.903472900391,121.578636169434,197.68098449707,53.9470329284668,4.13030481338501,1170.541015625,86.5927200317383,83.8597030639648,1840.09887695313,9.35528945922852,76.1442489624023,98.7703170776367,396.257049560547,100.522438049316,48.833740234375,119.407104492188,46.7950782775879,108.93684387207,40.6772270202637,1457.38146972656,88.526123046875,35.6128349304199,450.964080810547,21.9945755004883,47.8549842834473
GSM131070,86.7845916748047,93.4580917358398,103.419532775879,171.3000068664551,473.575561523438,2606.51196289063,48.9959754943848,119.456275939941,8.42337131500244,38.0795288085938,131.33251953125,99.3932647705078,52.7507476806641,10.1149396896362,14.998363494873,265.121002197266,28.3478965759277,71.0584259033203,84.3931045532227,17.3203620910645,88.3453826904297,113.472038269043,327.848297119141,47.7112731933594,83.5219192504883,68.1912002563477,149.652267456055,83.7480087280273,183.19743347168,2.55094981193542,2039.37243652344,18.6289882659912,155.769775390625,73.9032745361328,235.191940307617,51.6384925842285,91.6170043945313,259.515502929688,21.6012325286865,13.6785907745361,41.0920944213867,93.0689849853516,153.746078491211,1455.75109863281,268.983093261719,9.24619960784912,73.7917327880859,35.4316825866699,58.8760261535645,95.4871978759766,109.997535705566,219.17170715332,101.01953125,462.859619140625,107.894805908203,27.6820869445801,113.854141235352,441.707885742188,57.2404747009277,131.68896484375,107.048690795898,275.039367675781,42.7765731811523,18.692163467407248,1050.79907226563,65.3332824707031,100.827590942383,1184.30676269531,43.9112396240234,68.9399642944336,93.7563400268555,359.295867919922,94.4474334716797,49.2014350891113,116.347534179688,46.3598213195801,87.0757598876953,47.5873641967773,2459.17822265625,71.6195831298828,133.412155151367,205.315048217773,21.626049041748,45.6700401306152
GSM131071,108.452583312988,51.2231254577637,96.0182342529297,192.20727539062523,372.226287841797,1813.67761230469,50.1662406921387,121.297920227051,160.170364379883,173.326034545898,121.110679626465,226.885696411133,76.9556045532227,6.56525659561157,17.779577255249,293.746948242188,22.4357376098633,83.5153427124023,45.794132232666,21.2040233612061,65.4398422241211,123.288246154785,363.078582763672,219.931945800781,90.146842956543,99.7341461181641,87.3399200439453,179.877319335938,235.516983032227,12.0562601089478,1836.46704101563,13.3567600250244,103.908584594727,73.1049118041992,276.417938232422,47.5510368347168,88.6573944091797,163.314498901367,14.6685209274292,13.3645849227905,37.5786590576172,69.0911407470703,94.1361465454102,766.924682617188,219.949523925781,7.2290210723877,73.6415405273438,38.9368019104004,65.6689910888672,73.0266418457031,107.542991638184,193.400085449219,97.6011734008789,279.286834716797,171.896011352539,29.6450939178467,118.083625793457,398.442962646484,82.3024063110352,97.7690658569336,99.462760925293,291.315490722656,25.028736114502,35.90889072418215,974.838195800781,87.5861282348633,103.514251708984,223.103439331055,80.1291656494141,67.6982955932617,80.339485168457,319.18408203125,86.1806869506836,47.5574684143066,114.351295471191,45.7889862060547,96.1993408203125,46.1105918884277,2654.10034179688,78.32763671875,749.078491210938,98.9598770141602,34.3299102783203,47.4002723693848
GSM131072,87.7681427001953,36.9326705932617,111.219131469727,144.80355453491228,342.046997070313,1719.20861816406,45.1518020629883,183.557861328125,246.819931030273,338.820404052734,188.925048828125,261.46337890625,65.196533203125,8.33422756195068,11.1872358322144,303.661804199219,27.8612670898438,103.144813537598,40.7354545593262,22.4446067810059,62.4525947570801,84.9357681274414,378.653259277344,252.379028320313,76.9782180786133,98.8202362060547,68.4266510009766,176.125228881836,253.345840454102,68.1390609741211,1578.47338867188,16.1839771270752,61.0846977233887,84.2567520141602,249.356109619141,45.1144638061523,85.1316299438477,191.31413269043,9.07607936859131,15.4903364181519,31.0987663269043,145.302871704102,90.7201843261719,640.059631347656,200.321228027344,25.7111759185791,63.8525199890137,47.8422546386719,61.3104972839355,59.06201171875,139.379837036133,225.528854370117,99.6314086914063,88.273681640625,338.744720458984,21.7388095855713,136.738159179688,667.298217773438,54.5889930725098,98.9806365966797,112.338996887207,419.720031738281,17.860746383667,31.63005256652835,1139.59191894531,76.9376449584961,91.0802307128906,623.593017578125,162.989974975586,73.1163940429688,79.5172805786133,282.202850341797,125.592216491699,46.5744132995605,123.41722869873,53.3214912414551,94.8224487304688,35.5299835205078,2405.14282226563,101.078689575195,620.746154785156,65.3025360107422,32.446949005127,78.7336654663086
GSM131073,91.3149719238281,79.9069595336914,115.345512390137,147.0095214843749,454.031799316406,2173.32104492188,53.0129928588867,213.161270141602,219.015167236328,258.400970458984,372.191314697266,209.661422729492,49.5721397399902,21.1998043060303,15.4616498947144,250.147705078125,23.4754333496094,101.101303100586,68.4646759033203,28.759708404541,64.1713333129883,65.4047012329102,385.168182373047,123.303871154785,84.3622741699219,113.810501098633,130.739715576172,70.5501251220703,267.893432617188,164.098510742188,1218.08923339844,11.4675312042236,85.6941452026367,72.8210372924805,246.400146484375,42.2257461547852,95.8815383911133,278.458526611328,37.1530685424805,4.74133157730103,36.6980628967285,150.486557006836,65.098274230957,1416.40893554688,216.824279785156,24.9262733459473,56.0740966796875,171.62451171875,39.8323631286621,82.0378646850586,151.453582763672,209.856109619141,78.428092956543,98.9471740722656,471.999206542969,40.7171821594238,102.146942138672,742.10986328125,42.2832984924316,109.940231323242,123.147354125977,395.762786865234,100.418197631836,14.9311451911926,1080.53039550781,83.4796676635742,113.090591430664,2132.08056640625,9.17092323303223,93.4863357543945,72.6188278198242,516.146118164063,100.180702209473,55.7078704833984,129.48014831543,50.0035591125488,126.726089477539,50.3246154785156,1580.08825683594,136.019180297852,239.786880493164,84.1093826293945,51.5104637145996,89.4386215209961
GSM131074,97.2434005737305,95.6246032714844,112.056098937988,101.86869430541977,729.335266113281,2797.12939453125,58.9525413513184,136.048919677734,102.393745422363,84.9967041015625,511.550201416016,102.868232727051,77.2237777709961,11.8128595352173,17.8753643035889,253.123107910156,16.8192844390869,76.2791442871094,154.982696533203,13.3724279403687,106.818794250488,71.5858917236328,405.526885986328,35.2301597595215,69.0217971801758,85.5458145141602,263.825012207031,9.10968208312988,286.745513916016,91.1537170410156,1305.87573242188,12.3699750900269,134.242919921875,82.5609283447266,342.107482910156,46.4273910522461,103.460029602051,299.899597167969,23.9295101165771,12.8857402801514,27.2338714599609,130.351959228516,192.309539794922,2810.15258789063,265.116943359375,17.6439113616943,68.952278137207,223.309936523438,48.1626968383789,125.315567016602,112.076316833496,231.727203369141,89.6784286499023,168.717147827148,186.651733398438,32.3390274047852,112.84432220459,532.39208984375,43.6938972473145,124.648597717285,139.803329467773,253.872665405273,99.5592269897461,8.577927350997921,1119.64416503906,74.6875991821289,100.937309265137,2422.94580078125,37.4613914489746,79.4229354858398,99.4981689453125,443.066802978516,84.7972869873047,59.6091690063477,125.379127502441,60.8171119689941,92.4154510498047,46.6946563720703,1058.09411621094,117.449821472168,58.9905891418457,345.154510498047,28.019495010376,42.8527412414551
GSM131075,93.7782287597656,92.5966873168945,117.961822509766,137.9705810546874,447.026550292969,2962.939453125,44.2011604309082,129.448867797852,35.5871620178223,43.7848701477051,315.046875,114.191635131836,73.8605499267578,2.12372541427612,18.3481616973877,230.787506103516,22.5063362121582,79.2174682617188,107.729011535645,11.1029243469238,82.4701080322266,98.4664611816406,366.42578125,27.7034912109375,79.1981201171875,71.4606170654297,228.487014770508,40.423469543457,214.772064208984,18.8075065612793,1801.56408691406,15.8336324691772,138.281814575195,89.6716079711914,244.121734619141,47.7968444824219,93.9910125732422,274.519073486328,10.2406368255615,14.0456371307373,48.8253974914551,67.6544647216797,240.068954467773,2061.62158203125,235.679473876953,2.75401377677917,79.2679443359375,69.9202346801758,50.0603141784668,114.617744445801,101.587844848633,227.572937011719,86.8369903564453,375.416046142578,150.070373535156,27.2216835021973,114.650329589844,422.361419677734,56.9007987976074,118.028709411621,126.381729125977,251.268783569336,56.8788566589355,11.75049829483034,982.468200683594,75.6703948974609,108.772994995117,2050.25854492188,43.3684005737305,76.3822174072266,77.2206573486328,388.088012695313,114.091400146484,41.1867218017578,126.655120849609,44.936653137207,101.486320495605,43.6361808776855,2255.99145507813,69.4855346679688,60.2716102600098,448.701324462891,22.2689914703369,29.9934387207031
GSM131076,104.657135009766,66.377799987793,146.683532714844,160.65245819091814,355.664520263672,2746.94970703125,55.4988059997559,126.453590393066,22.9305229187012,90.6280822753906,122.371780395508,147.210998535156,55.9098320007324,11.3264207839966,17.6936111450195,267.874755859375,23.8151798248291,80.5548248291016,78.3986740112305,28.2558612823486,49.8683395385742,135.690002441406,342.251068115234,80.255241394043,82.7358856201172,84.1185607910156,169.881576538086,74.0587463378906,244.350189208984,11.3463020324707,2192.09619140625,17.8486881256104,121.462471008301,92.429069519043,222.108016967773,46.0410614013672,91.7787628173828,186.999862670898,6.77716159820557,4.94213724136353,45.2240142822266,74.5504989624023,169.500427246094,1154.35095214844,177.452728271484,12.1113872528076,66.8478317260742,53.9309692382813,54.2823181152344,77.4878311157227,89.3097457885742,211.900436401367,96.5306015014648,417.449249267578,87.8643188476563,26.2616577148438,123.921989440918,401.169677734375,91.0007019042969,147.942840576172,120.8056640625,283.972045898438,54.8322792053223,23.66691780090335,989.411865234375,79.2859954833984,106.604942321777,1305.40441894531,135.538330078125,76.5355911254883,90.6072692871094,407.719146728516,146.812164306641,46.6837882995605,143.44905090332,56.5890274047852,94.2257232666016,49.5608062744141,2696.6845703125,69.0277481079102,209.026733398438,206.077682495117,23.6741962432861,33.9743423461914
GSM131077,99.8407897949219,48.3605613708496,119.17407989502,190.8592720031735,343.992553710938,2773.45727539063,43.3057441711426,136.638870239258,145.993606567383,185.672027587891,136.214340209961,222.654998779297,53.6573143005371,6.46379804611206,30.9192409515381,317.397399902344,30.2692089080811,89.8525695800781,72.2289123535156,16.296760559082,62.7469062805176,118.189376831055,325.671173095703,210.38037109375,90.371696472168,105.602874755859,98.1958847045898,172.377685546875,220.004241943359,28.8375873565674,2089.64135742188,19.1238746643066,85.117805480957,82.2041091918945,263.724334716797,56.4438819885254,88.0086288452148,168.816299438477,23.7717990875244,14.7088031768799,44.1322708129883,80.4503326416016,112.705986022949,823.180786132813,221.647613525391,7.83761310577393,71.1680603027344,43.4372787475586,69.194580078125,64.9031524658203,103.50643157959,202.590469360352,106.786376953125,214.214813232422,191.731704711914,40.2757568359375,127.331680297852,424.841186523438,68.6272277832031,105.852554321289,110.340400695801,266.035400390625,28.6306438446045,41.48192882537845,963.032165527344,67.3718948364258,109.931976318359,490.617492675781,203.99772644043,74.6856689453125,56.2535247802734,460.034881591797,105.668098449707,43.1226348876953,149.943435668945,53.3095207214355,96.0876846313477,33.2509422302246,2889.7236328125,45.2617950439453,544.050659179688,108.275161743164,21.3456192016602,49.5364303588867
GSM131078,110.016052246094,53.4437217712402,98.1973495483398,144.06419754028337,353.432250976563,1508.63928222656,46.2860260009766,176.530136108398,285.998413085938,257.096496582031,236.344467163086,240.856338500977,99.4818496704102,19.3142700195313,11.5626182556152,290.966339111328,26.8316459655762,80.2245788574219,55.9560661315918,16.7537403106689,78.9413604736328,74.7821502685547,332.85205078125,198.071807861328,73.7942504882813,113.924392700195,81.3364562988281,153.244247436523,234.28173828125,63.4324035644531,1276.89489746094,10.5865306854248,42.3613624572754,88.3686981201172,216.029251098633,42.5649147033691,103.04077911377,156.656600952148,23.5408248901367,13.6175146102905,43.027473449707,116.466499328613,87.0855560302734,725.243225097656,107.745956420898,15.9683408737183,66.788330078125,56.6017112731934,52.9065856933594,71.4764938354492,109.58918762207,219.617813110352,91.9555740356445,96.002067565918,249.734832763672,31.3296527862549,131.029373168945,582.838134765625,54.6859512329102,133.712448120117,136.537445068359,376.426788330078,29.1391143798828,31.75993537902835,1117.30224609375,82.3920135498047,78.6121368408203,1049.24584960938,559.322143554688,89.4825592041016,93.1138153076172,233.957962036133,104.069976806641,43.5676498413086,119.460861206055,50.7107620239258,112.112869262695,32.0933532714844,1573.26477050781,92.0054321289063,495.841156005859,83.8768844604492,29.4776611328125,58.5737838745117
